2024-06-10 00:00:50, AirTemperature: 32.0C, AirHumidity: 50.2%, WaterTemperature: 25C, WaterDO: 8.55mg/L 
2024-06-10 00:01:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 25C, WaterDO: 8.55mg/L 
2024-06-10 00:02:50, AirTemperature: 32.0C, AirHumidity: 50.3%, WaterTemperature: 26C, WaterDO: 7.76mg/L 
2024-06-10 00:03:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 7.76mg/L 
2024-06-10 00:04:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 25C, WaterDO: 9.28mg/L 
2024-06-10 00:05:50, AirTemperature: 32.1C, AirHumidity: 50.3%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
2024-06-10 00:06:50, AirTemperature: 32.1C, AirHumidity: 50.3%, WaterTemperature: 26C, WaterDO: 9.45mg/L 
2024-06-10 00:07:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-10 00:08:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 7.01mg/L 
2024-06-10 00:09:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 7.51mg/L 
2024-06-10 00:10:50, AirTemperature: 32.1C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
2024-06-10 00:11:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 7.26mg/L 
2024-06-10 00:12:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-10 00:13:50, AirTemperature: 32.2C, AirHumidity: 50.3%, WaterTemperature: 26C, WaterDO: 8.45mg/L 
2024-06-10 00:14:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 9.7mg/L 
2024-06-10 00:15:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
2024-06-10 00:16:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
2024-06-10 00:17:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
2024-06-10 00:18:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.01mg/L 
2024-06-10 00:19:50, AirTemperature: 32.3C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 9.2mg/L 
2024-06-10 00:20:50, AirTemperature: 32.2C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-10 00:21:50, AirTemperature: 32.3C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
2024-06-10 00:22:50, AirTemperature: 32.3C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.01mg/L 
2024-06-10 00:23:50, AirTemperature: 32.3C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 9.2mg/L 
2024-06-10 00:24:50, AirTemperature: 32.3C, AirHumidity: 50.2%, WaterTemperature: 26C, WaterDO: 8.25mg/L 
