2024-06-14 00:00:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:01:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.45mg/L 
2024-06-14 00:02:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:03:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:04:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:05:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.45mg/L 
2024-06-14 00:06:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:07:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:08:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.2mg/L 
2024-06-14 00:09:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.45mg/L 
2024-06-14 00:10:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:11:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:12:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:13:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:14:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.45mg/L 
2024-06-14 00:15:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.14mg/L 
2024-06-14 00:16:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:17:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:18:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.2mg/L 
2024-06-14 00:19:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:20:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:21:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:22:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.45mg/L 
2024-06-14 00:23:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.14mg/L 
2024-06-14 00:24:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.45mg/L 
2024-06-14 00:25:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.14mg/L 
2024-06-14 00:26:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:27:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:28:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:29:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:30:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:31:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:32:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:33:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:34:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.14mg/L 
2024-06-14 00:35:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.2mg/L 
2024-06-14 00:36:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:37:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:38:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:39:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:40:38, AirTemperature: 27.5C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:41:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:42:38, AirTemperature: 27.6C, AirHumidity: 42.3%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:43:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:44:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:45:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:46:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.14mg/L 
2024-06-14 00:47:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:48:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.14mg/L 
2024-06-14 00:49:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:50:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 7.89mg/L 
2024-06-14 00:51:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:52:38, AirTemperature: 27.6C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 9.76mg/L 
2024-06-14 00:53:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:54:38, AirTemperature: 27.5C, AirHumidity: 42.1%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:55:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.82mg/L 
2024-06-14 00:56:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.51mg/L 
2024-06-14 00:57:38, AirTemperature: 27.5C, AirHumidity: 42.2%, WaterTemperature: 20C, WaterDO: 8.2mg/L 
