2024-06-11 00:00:51, AirTemperature: 32.4C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
2024-06-11 00:01:51, AirTemperature: 32.5C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 9.7mg/L 
2024-06-11 00:02:51, AirTemperature: 32.5C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-11 00:03:51, AirTemperature: 32.5C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.19mg/L 
2024-06-11 00:04:51, AirTemperature: 32.5C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
2024-06-11 00:05:51, AirTemperature: 32.5C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 9.95mg/L 
2024-06-11 00:06:51, AirTemperature: 32.5C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.64mg/L 
2024-06-11 00:07:51, AirTemperature: 32.5C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 9.2mg/L 
2024-06-11 00:08:51, AirTemperature: 32.5C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.7mg/L 
2024-06-11 00:09:51, AirTemperature: 32.6C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.19mg/L 
2024-06-11 00:10:51, AirTemperature: 32.6C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.19mg/L 
2024-06-11 00:11:51, AirTemperature: 32.6C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-11 00:12:51, AirTemperature: 32.6C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
2024-06-11 00:13:51, AirTemperature: 32.6C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 11.64mg/L 
2024-06-11 00:14:51, AirTemperature: 32.6C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 12.14mg/L 
2024-06-11 00:15:51, AirTemperature: 32.6C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 8.45mg/L 
2024-06-11 00:16:51, AirTemperature: 32.6C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
2024-06-11 00:17:51, AirTemperature: 32.6C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 9.95mg/L 
2024-06-11 00:18:51, AirTemperature: 32.7C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 9.95mg/L 
2024-06-11 00:19:51, AirTemperature: 32.7C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-11 00:20:51, AirTemperature: 32.7C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 9.7mg/L 
2024-06-11 00:21:51, AirTemperature: 32.7C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 8.7mg/L 
2024-06-11 00:22:51, AirTemperature: 32.7C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 10.19mg/L 
2024-06-11 00:23:51, AirTemperature: 32.7C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 11.64mg/L 
2024-06-11 00:24:51, AirTemperature: 32.7C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.89mg/L 
2024-06-11 00:25:51, AirTemperature: 32.7C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 9.45mg/L 
2024-06-11 00:26:51, AirTemperature: 32.7C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 11.39mg/L 
2024-06-11 00:27:51, AirTemperature: 32.7C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
2024-06-11 00:28:51, AirTemperature: 32.7C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.45mg/L 
2024-06-11 00:29:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.7mg/L 
2024-06-11 00:30:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 11.14mg/L 
2024-06-11 00:31:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.19mg/L 
2024-06-11 00:32:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
2024-06-11 00:33:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.7mg/L 
2024-06-11 00:34:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.45mg/L 
2024-06-11 00:35:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 9.45mg/L 
2024-06-11 00:36:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.7mg/L 
2024-06-11 00:37:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 11.14mg/L 
2024-06-11 00:38:51, AirTemperature: 32.8C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 11.64mg/L 
2024-06-11 00:39:51, AirTemperature: 32.9C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 11.39mg/L 
2024-06-11 00:40:51, AirTemperature: 32.9C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 9.7mg/L 
2024-06-11 00:41:51, AirTemperature: 32.9C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 8.95mg/L 
2024-06-11 00:42:51, AirTemperature: 32.9C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.19mg/L 
2024-06-11 00:43:51, AirTemperature: 32.9C, AirHumidity: 49.1%, WaterTemperature: 26C, WaterDO: 12.14mg/L 
2024-06-11 00:44:51, AirTemperature: 32.9C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.64mg/L 
2024-06-11 00:45:51, AirTemperature: 32.9C, AirHumidity: 49.2%, WaterTemperature: 26C, WaterDO: 10.39mg/L 
